nct_id,nct_id2,models,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
NCT01084005,NCT01084005,f2,0.4226,0.4127,0.5739,42.82,6.253e-27,4,-203.9,419.8,440.6,77.07,234,239
NCT01087502,NCT01087502,f2,0.5801,0.5728,0.704,79.44,3.1089999999999996e-42,4,-248.5,508.9,529.7,114,230,235
NCT01194830,NCT01194830,f2,0.207,0.192,1.138,13.77,5.387e-10,4,-331.9,675.9,696.1,273.4,211,216
NCT02182830,NCT02182830,f2,0.2566,0.2379,1.163,13.72,1.237e-9,4,-255,521.9,540.5,215.2,159,164
NCT02453555,NCT02453555,f2,0.1348,0.1219,0.7578,10.51,6.258e-8,4,-311.4,634.8,656.6,155.1,270,275
NCT00763451,NCT00763451,f2,0.1507,0.14,0.9408,14.05,9.645e-15,6,-651,1318,1351,420.4,475,482
NCT00976937,NCT00976937,f2,0.2557,0.2459,1.061,26.02,1.478e-18,4,-452.7,917.4,939.7,340.9,303,308
NCT00866658,NCT00866658,f2,0.2512,0.2414,1.09,25.59,2.699e-18,4,-464,940.1,962.5,362.3,305,310
NCT01169779,NCT01169779,f2,0.1928,0.1844,0.9149,22.99,4.729e-17,4,-516.2,1044,1068,322.3,385,390
NCT01632163,NCT01632163,f2,0.1097,0.09526,1.07,7.581,8.952e-6,4,-370.6,753.2,774.4,281.7,246,251
NCT01798706,NCT01798706,f2,0.3079,0.2992,0.8623,35.59,1.346e-24,4,-410.5,833,855.7,237.9,320,325
NCT00712673,NCT00712673,f2,0.1416,0.134,1.003,18.51,5.712e-20,6,-963.6,1943,1979,677.4,673,680
NCT00713830,NCT00713830,f2,0.1866,0.1828,0.9805,48.92,4.49e-37,4,-1198,2408,2437,820,853,858
NCT00715624,NCT00715624,f2,0.2175,0.2111,1.176,33.97,4.974000000000001e-25,4,-778.4,1569,1594,675.8,489,494
NCT00763815,NCT00763815,f2,0.06853,0.06075,1.028,8.81,7.19e-7,4,-697.7,1407,1432,506.3,479,484
NCT00688701,NCT00688701,f2,0.2932,0.2812,1.013,24.48,2.973e-24,6,-513.3,1043,1074,363.1,354,361
NCT00707031,NCT00707031,f2,0.1929,0.1878,0.9209,37.53,3.639e-28,4,-843.5,1699,1726,532.6,628,633
NCT01648582,NCT01648582,f2,0.2793,0.2736,1.016,49.53,1.686e-51,6,-1107,2230,2267,791.8,767,774
NCT01558271,NCT01558271,f2,0.4774,0.4709,0.7565,73.84,3.107e-65,6,-557.3,1131,1164,277.5,485,492
NCT02750410,NCT02750410,f2,0.328,0.3105,0.7205,18.79,1.341e-12,4,-170.9,353.9,372.3,79.94,154,159
NCT01768559,NCT01768559,f2,0.1113,0.1073,0.7296,27.77,9.463999999999999e-22,4,-981.9,1976,2005,472.1,887,892
NCT00975286,NCT00975286,f2,0.2109,0.2033,0.7569,27.92,1.439e-20,4,-479.9,971.8,996,239.5,418,423
NCT01632007,NCT01632007,f2,0.5076,0.4951,0.7114,40.88,4.667e-34,6,-260.7,537.3,565.3,120.5,238,245
NCT01619059,NCT01619059,f2,0.4925,0.4856,0.6895,71.57,2.6259999999999997e-42,4,-311.6,635.2,657.4,140.2,295,300
NCT00819091,NCT00819091,f3,0.3647,0.3538,0.8473,33.44,4.860999999999999e-22,4,-295.8,603.5,624.3,167.3,233,238
NCT00800683,NCT00800683,f3,0.4215,0.403,0.8544,22.77,3.796e-14,4,-161.5,334.9,352.1,91.24,125,130
NCT00740051,NCT00740051,f3,0.07816,0.06155,1.158,4.706,0.001154,4,-353,717.9,738.5,297.9,222,227
NCT00996658,NCT00996658,f3,0.1752,0.1628,1.04,14.18,1.659e-10,4,-394.1,800.1,821.8,288.7,267,272
NCT01084005,NCT01084005,f3,0.43120000000000003,0.4216,0.5701,44.73,6.28e-28,4,-204,420,440.9,76.69,236,241
NCT01087502,NCT01087502,f3,0.5834,0.5762,0.7012,80.53,1.2529999999999998e-42,4,-247.5,507,527.8,113.1,230,235
NCT01194830,NCT01194830,f3,0.2451,0.2308,1.111,17.13,3.517e-12,4,-326.6,665.2,685.5,260.2,211,216
NCT02182830,NCT02182830,f3,0.2514,0.2326,1.167,13.35,2.102e-9,4,-255.5,523.1,541.7,216.7,159,164
